4
10
0 75 647 84 881 473 427 563 326 349 
75 0 588 14 810 398 353 580 275 359 
647 588 0 589 330 382 464 644 324 535 
84 14 589 0 806 390 342 594 280 373 
881 810 330 806 0 455 543 975 597 851 
473 398 382 390 455 0 91 795 317 596 
427 353 464 342 543 91 0 813 342 603 
563 580 644 594 975 795 813 0 477 222 
326 275 324 280 597 317 342 477 0 284 
349 359 535 373 851 596 603 222 284 0 
0 540 563 344 337 175 334 851 689 437 
540 0 918 233 854 371 863 659 885 855 
563 918 0 689 375 678 423 766 263 148 
344 233 689 0 631 208 645 597 682 622 
337 854 375 631 0 508 48 978 606 229 
175 371 678 208 508 0 508 786 749 573 
334 863 423 645 48 508 0 1016 654 277 
851 659 766 597 978 786 1016 0 553 819 
689 885 263 682 606 749 654 553 0 382 
437 855 148 622 229 573 277 819 382 0 
0 213 414 702 407 548 579 611 270 199 
213 0 203 849 279 476 492 742 258 27 
414 203 0 1029 313 526 523 916 356 215 
702 849 1029 0 798 710 756 121 969 853 
407 279 313 798 0 214 219 677 537 306 
548 476 526 710 214 0 47 590 730 501 
579 492 523 756 219 47 0 636 749 518 
611 742 916 121 677 590 636 0 881 748 
270 258 356 969 537 730 749 881 0 231 
199 27 215 853 306 501 518 748 231 0 
0 47 705 79 790 532 504 495 124 744 
47 0 696 124 808 556 479 490 93 761 
705 696 0 752 439 474 305 215 610 402 
79 124 752 0 794 526 572 538 201 751 
790 808 439 794 0 276 656 431 758 49 
532 556 474 526 276 0 553 334 523 240 
504 479 305 572 656 553 0 230 385 609 
495 490 215 538 431 334 230 0 410 382 
124 93 610 201 758 523 385 410 0 710 
744 761 402 751 49 240 609 382 710 0 
