5
10
0 296 653 97 458 628 680 863 193 731 
296 0 560 390 436 592 515 584 133 525 
653 560 0 727 209 122 163 584 516 274 
97 390 727 0 524 689 766 960 290 822 
458 436 209 524 0 171 306 672 353 404 
628 592 122 689 171 0 283 701 521 394 
680 515 163 766 306 283 0 421 511 111 
863 584 584 960 672 701 421 0 670 314 
193 133 516 290 353 521 511 670 0 548 
731 525 274 822 404 394 111 314 548 0 
0 499 587 184 823 675 602 664 390 769 
499 0 499 401 664 536 898 718 136 279 
587 499 0 652 235 90 549 237 406 564 
184 401 652 0 880 730 775 780 334 681 
823 664 235 880 0 150 688 312 602 632 
675 536 90 730 150 0 614 267 460 555 
602 898 549 775 688 614 0 377 764 1069 
664 718 237 780 312 267 377 0 607 802 
390 136 406 334 602 460 764 607 0 380 
769 279 564 681 632 555 1069 802 380 0 
0 144 180 487 271 455 575 148 399 495 
144 0 50 495 377 419 584 242 333 563 
180 50 0 465 385 379 553 251 288 552 
487 495 465 0 344 152 89 361 255 223 
271 377 385 344 0 404 415 135 420 249 
455 419 379 152 404 0 213 366 113 361 
575 584 553 89 415 213 0 446 325 242 
148 242 251 361 135 366 446 0 346 346 
399 333 288 255 420 113 325 346 0 440 
495 563 552 223 249 361 242 346 440 0 
0 114 397 585 291 242 458 570 536 411 
114 0 501 700 349 343 546 636 525 504 
397 501 0 301 259 158 508 683 848 453 
585 700 301 0 552 409 410 574 869 377 
291 349 259 552 0 165 632 786 825 576 
242 343 158 409 165 0 474 635 730 417 
458 546 508 410 632 474 0 176 481 57 
570 636 683 574 786 635 176 0 397 230 
536 525 848 869 825 730 481 397 0 497 
411 504 453 377 576 417 57 230 497 0 
0 637 817 825 730 1097 735 262 528 967 
637 0 520 1011 586 882 918 377 669 802 
817 520 0 654 168 362 588 660 445 288 
825 1011 654 0 493 606 97 876 356 499 
730 586 168 493 0 370 421 622 288 249 
1097 882 362 606 370 0 591 989 606 134 
735 918 588 97 421 591 0 778 258 471 
262 377 660 876 622 989 778 0 526 872 
528 669 445 356 288 606 258 526 0 472 
967 802 288 499 249 134 471 872 472 0 
