6
5
0 699 414 851 205 
699 0 782 372 856 
414 782 0 735 321 
851 372 735 0 939 
205 856 321 939 0 
0 411 460 180 42 
411 0 335 527 370 
460 335 0 453 439 
180 527 453 0 211 
42 370 439 211 0 
0 450 576 987 348 
450 0 181 676 202 
576 181 0 764 383 
987 676 764 0 648 
348 202 383 648 0 
0 816 577 463 396 
816 0 656 364 606 
577 656 0 407 191 
463 364 407 0 279 
396 606 191 279 0 
0 385 930 669 744 
385 0 544 490 683 
930 544 0 682 931 
669 490 682 0 249 
744 683 931 249 0 
0 403 86 562 85 
403 0 489 516 321 
86 489 0 619 172 
562 516 619 0 509 
85 321 172 509 0 
