6
5
0 628 710 696 240 
628 0 195 738 418 
710 195 0 619 542 
696 738 619 0 739 
240 418 542 739 0 
0 72 466 506 593 
72 0 457 549 600 
466 457 0 376 181 
506 549 376 0 306 
593 600 181 306 0 
0 1203 668 897 650 
1203 0 698 552 733 
668 698 0 744 664 
897 552 744 0 259 
650 733 664 259 0 
0 413 853 171 836 
413 0 718 337 813 
853 718 0 925 224 
171 337 925 0 945 
836 813 224 945 0 
0 809 263 150 967 
809 0 569 906 162 
263 569 0 337 731 
150 906 337 0 1067 
967 162 731 1067 0 
0 637 785 162 156 
637 0 717 659 584 
785 717 0 930 629 
162 659 930 0 310 
156 584 629 310 0 
