6
5
0 283 417 663 188 
283 0 700 863 101 
417 700 0 508 605 
663 863 508 0 808 
188 101 605 808 0 
0 692 474 991 765 
692 0 699 449 142 
474 699 0 756 678 
991 449 756 0 307 
765 142 678 307 0 
0 439 325 395 317 
439 0 478 595 582 
325 478 0 716 131 
395 595 716 0 710 
317 582 131 710 0 
0 418 96 203 608 
418 0 485 241 461 
96 485 0 291 705 
203 241 291 0 438 
608 461 705 438 0 
0 802 578 537 825 
802 0 224 960 337 
578 224 0 773 363 
537 960 773 0 776 
825 337 363 776 0 
0 323 322 48 816 
323 0 52 276 1110 
322 52 0 273 1125 
48 276 273 0 863 
816 1110 1125 863 0 
