7
15
0 1055 698 594 546 410 176 422 898 995 610 230 354 747 474 
1055 0 631 479 947 871 1071 706 166 69 663 832 756 621 602 
698 631 0 307 950 798 813 287 560 563 88 568 617 48 519 
594 479 307 0 678 542 647 231 344 413 274 388 371 336 236 
546 947 950 678 0 161 396 693 786 914 881 441 337 991 441 
410 871 798 542 161 0 291 534 705 828 726 280 181 841 308 
176 1071 813 647 396 291 0 526 906 1017 728 259 317 861 468 
422 706 287 231 693 534 526 0 575 639 203 283 356 335 309 
898 166 560 344 786 705 906 575 0 128 571 672 590 563 437 
995 69 563 413 914 828 1017 639 128 0 594 773 704 555 549 
610 663 88 274 881 726 728 203 571 594 0 486 545 136 462 
230 832 568 388 441 280 259 283 672 773 486 0 143 615 244 
354 756 617 371 337 181 317 356 590 704 545 143 0 659 155 
747 621 48 336 991 841 861 335 563 555 136 615 659 0 557 
474 602 519 236 441 308 468 309 437 549 462 244 155 557 0 
0 265 727 288 364 559 233 311 660 641 119 259 391 330 509 
265 0 581 330 124 357 91 244 448 381 150 322 489 476 250 
727 581 0 908 468 251 531 823 226 457 674 896 544 622 455 
288 330 908 0 453 687 380 126 775 665 253 31 675 618 549 
364 124 468 453 0 234 134 357 324 280 262 446 489 499 149 
559 357 251 687 234 0 332 589 102 239 477 679 523 572 205 
233 91 531 380 134 332 0 315 432 414 145 365 399 391 283 
311 244 823 126 357 589 315 0 672 545 229 140 668 627 435 
660 448 226 775 324 102 432 672 0 231 576 770 611 665 254 
641 381 457 665 280 239 414 545 231 0 531 669 725 755 132 
119 150 674 253 262 477 145 229 576 531 0 233 439 399 399 
259 322 896 31 446 679 365 140 770 669 233 0 648 590 550 
391 489 544 675 489 523 399 668 611 725 439 648 0 92 617 
330 476 622 618 499 572 391 627 665 755 399 590 92 0 638 
509 250 455 549 149 205 283 435 254 132 399 550 617 638 0 
0 572 795 967 469 265 619 512 499 639 925 758 915 759 439 
572 0 839 738 142 572 631 396 163 314 376 769 350 427 278 
795 839 0 403 884 530 213 445 679 559 1155 73 963 529 578 
967 738 403 0 842 740 396 462 619 428 945 355 708 312 580 
469 142 884 842 0 529 671 442 224 414 456 819 484 540 306 
265 572 530 740 529 0 365 329 437 498 949 496 866 591 329 
619 631 213 396 671 365 0 234 469 372 962 152 790 380 365 
512 396 445 462 442 329 234 0 234 181 737 377 591 263 138 
499 163 679 619 224 437 469 234 0 194 524 610 432 324 119 
639 314 559 428 414 498 372 181 194 0 595 486 419 131 199 
925 376 1155 945 456 949 962 737 524 595 0 1082 253 652 643 
758 769 73 355 819 496 152 377 610 486 1082 0 890 456 512 
915 350 963 708 484 866 790 591 432 419 253 890 0 438 537 
759 427 529 312 540 591 380 263 324 131 652 456 438 0 324 
439 278 578 580 306 329 365 138 119 199 643 512 537 324 0 
0 320 246 406 502 309 503 317 254 77 337 222 402 265 598 
320 0 122 532 653 456 225 633 573 366 652 397 630 538 792 
246 122 0 410 531 333 257 539 486 311 583 390 510 427 669 
406 532 410 0 121 97 557 435 438 473 581 628 194 264 271 
502 653 531 121 0 204 673 458 479 561 618 719 174 304 156 
309 456 333 97 204 0 513 374 364 376 505 531 196 202 335 
503 225 257 557 673 513 0 789 740 565 841 619 708 659 828 
317 633 539 435 458 374 789 0 71 303 167 422 286 173 465 
254 573 486 438 479 364 740 71 0 234 142 351 315 176 507 
77 366 311 473 561 376 565 303 234 0 286 158 444 296 644 
337 652 583 581 618 505 841 167 142 286 0 342 450 318 633 
222 397 390 628 719 531 619 422 351 158 342 0 600 450 801 
402 630 510 194 174 196 708 286 315 444 450 600 0 152 201 
265 538 427 264 304 202 659 173 176 296 318 450 152 0 354 
598 792 669 271 156 335 828 465 507 644 633 801 201 354 0 
0 190 330 429 318 362 623 13 529 547 171 453 338 260 464 
190 0 203 595 372 237 646 184 339 561 290 265 471 448 622 
330 203 0 625 304 402 848 318 334 420 475 303 656 580 638 
429 595 625 0 354 791 947 428 921 499 512 856 556 325 47 
318 372 304 354 0 608 942 307 633 233 485 588 628 455 355 
362 237 402 791 608 0 490 363 302 796 343 221 482 565 826 
623 646 848 947 942 490 0 635 784 1169 463 708 398 624 994 
13 184 318 428 307 363 635 0 523 535 184 447 352 269 462 
529 339 334 921 633 302 784 523 0 744 593 86 759 782 943 
547 561 420 499 233 796 1169 535 744 0 716 723 861 679 479 
171 290 475 512 485 343 463 184 593 716 0 508 182 229 555 
453 265 303 856 588 221 708 447 86 723 508 0 673 702 881 
338 471 656 556 628 482 398 352 759 861 182 673 0 231 604 
260 448 580 325 455 565 624 269 782 679 229 702 231 0 373 
464 622 638 47 355 826 994 462 943 479 555 881 604 373 0 
0 305 744 678 821 114 591 313 506 540 757 302 742 341 616 
305 0 597 381 542 374 337 405 592 240 601 293 581 285 311 
744 597 0 491 895 856 821 982 480 643 24 886 36 882 567 
