7
5
0 1051 831 626 568 
1051 0 644 518 1038 
831 644 0 292 490 
626 518 292 0 524 
568 1038 490 524 0 
0 780 389 74 569 
780 0 391 743 675 
389 391 0 353 480 
74 743 353 0 495 
569 675 480 495 0 
0 133 1024 526 428 
133 0 963 461 454 
1024 963 0 502 708 
526 461 502 0 327 
428 454 708 327 0 
0 462 440 515 108 
462 0 190 79 569 
440 190 0 267 531 
515 79 267 0 623 
108 569 531 623 0 
0 714 220 139 394 
714 0 667 637 459 
220 667 0 96 499 
139 637 96 0 413 
394 459 499 413 0 
0 298 676 759 682 
298 0 378 695 468 
676 378 0 773 385 
759 695 773 0 403 
682 468 385 403 0 
0 381 783 633 752 
381 0 791 802 734 
783 791 0 333 69 
633 802 333 0 365 
752 734 69 365 0 
