7
5
0 397 800 110 613 
397 0 779 433 510 
800 779 0 706 276 
110 433 706 0 542 
613 510 276 542 0 
0 321 608 166 368 
321 0 303 359 513 
608 303 0 591 805 
166 359 591 0 534 
368 513 805 534 0 
0 936 307 311 725 
936 0 630 633 273 
307 630 0 33 420 
311 633 33 0 413 
725 273 420 413 0 
0 457 624 418 160 
457 0 210 703 445 
624 210 0 910 566 
418 703 910 0 578 
160 445 566 578 0 
0 566 633 743 664 
566 0 67 643 657 
633 67 0 664 688 
743 643 664 0 115 
664 657 688 115 0 
0 446 755 770 372 
446 0 331 481 173 
755 331 0 610 492 
770 481 610 0 416 
372 173 492 416 0 
0 319 714 791 730 
319 0 531 684 582 
714 531 0 214 87 
791 684 214 0 127 
730 582 87 127 0 
