7
10
0 208 527 665 878 499 742 621 354 76 
208 0 366 584 793 453 643 663 385 284 
527 366 0 311 482 297 326 586 408 597 
665 584 311 0 213 177 95 373 368 715 
878 793 482 213 0 383 155 487 567 926 
499 453 297 177 383 0 268 288 192 544 
742 643 326 95 155 268 0 459 461 797 
621 663 586 373 487 288 459 0 279 632 
354 385 408 368 567 192 461 279 0 381 
76 284 597 715 926 544 797 632 381 0 
0 734 513 824 847 230 390 632 355 825 
734 0 223 371 933 623 611 1031 381 550 
513 223 0 411 818 428 421 847 166 525 
824 371 411 0 641 815 522 860 550 201 
847 933 818 641 0 997 483 392 835 448 
230 623 428 815 997 0 514 840 268 871 
390 611 421 522 483 514 0 426 376 461 
632 1031 847 860 392 840 426 0 785 715 
355 381 166 550 835 268 376 785 0 625 
825 550 525 201 448 871 461 715 625 0 
0 757 876 739 460 548 916 802 630 392 
757 0 150 416 539 442 159 719 186 432 
876 150 0 551 689 475 96 858 336 576 
739 416 551 0 307 733 502 307 271 355 
460 539 689 307 0 652 680 358 354 164 
548 442 475 733 652 0 557 973 472 488 
916 159 96 502 680 557 0 809 328 587 
802 719 858 307 358 973 809 0 554 504 
630 186 336 271 354 472 328 554 0 264 
392 432 576 355 164 488 587 504 264 0 
0 13 653 387 286 640 517 506 620 123 
13 0 652 389 290 652 518 508 626 115 
653 652 0 287 401 802 169 214 350 559 
387 389 287 0 113 586 131 121 285 321 
286 290 401 113 0 531 244 223 342 245 
640 652 802 586 531 0 644 594 482 699 
517 518 169 131 244 644 0 50 237 442 
506 508 214 121 223 594 50 0 194 442 
620 626 350 285 342 482 237 194 0 587 
123 115 559 321 245 699 442 442 587 0 
0 410 618 614 707 532 755 184 649 672 
410 0 209 455 566 287 433 592 445 530 
618 209 0 473 571 305 321 801 489 541 
614 455 473 0 111 175 281 768 898 74 
707 566 571 111 0 282 331 851 1008 37 
532 287 305 175 282 0 229 706 725 248 
755 433 321 281 331 229 0 932 809 316 
184 592 801 768 851 706 932 0 775 818 
649 445 489 898 1008 725 809 775 0 972 
672 530 541 74 37 248 316 818 972 0 
0 755 354 303 561 261 915 511 530 119 
755 0 466 1010 531 544 220 567 323 811 
354 466 0 553 559 94 668 226 393 452 
303 1010 553 0 863 467 1191 606 824 352 
561 531 559 863 0 552 549 781 224 531 
261 544 94 467 552 0 735 277 418 364 
915 220 668 1191 549 735 0 787 406 950 
511 567 226 606 781 277 787 0 597 626 
530 323 393 824 224 418 406 597 0 549 
119 811 452 352 531 364 950 626 549 0 
0 517 725 99 707 889 498 186 234 402 
517 0 933 566 635 646 21 371 705 399 
725 933 0 813 439 698 914 666 566 533 
99 566 813 0 807 984 548 274 284 499 
707 635 439 807 0 268 622 551 688 320 
889 646 698 984 268 0 641 710 920 488 
498 21 914 548 622 641 0 350 684 380 
186 371 666 274 551 710 350 0 334 232 
234 705 566 284 688 920 684 334 0 453 
402 399 533 499 320 488 380 232 453 0 
