7
5
0 102 475 247 298 
102 0 427 347 283 
475 427 0 604 200 
247 347 604 0 403 
298 283 200 403 0 
0 647 501 282 635 
647 0 258 584 13 
501 258 0 559 254 
282 584 559 0 571 
635 13 254 571 0 
0 459 198 92 726 
459 0 442 550 907 
198 442 0 252 552 
92 550 252 0 734 
726 907 552 734 0 
0 327 839 359 597 
327 0 711 358 520 
839 711 0 484 247 
359 358 484 0 239 
597 520 247 239 0 
0 216 205 911 886 
216 0 408 782 907 
205 408 0 976 809 
911 782 976 0 625 
886 907 809 625 0 
0 968 956 226 621 
968 0 62 832 437 
956 62 0 808 458 
226 832 808 0 572 
621 437 458 572 0 
0 497 585 348 818 
497 0 785 263 324 
585 785 0 524 993 
348 263 524 0 527 
818 324 993 527 0 
