7
5
0 209 724 809 283 
209 0 613 835 422 
724 613 0 523 665 
809 835 523 0 573 
283 422 665 573 0 
0 154 263 336 591 
154 0 133 474 537 
263 133 0 597 624 
336 474 597 0 656 
591 537 624 656 0 
0 261 675 355 438 
261 0 917 600 695 
675 917 0 319 431 
355 600 319 0 276 
438 695 431 276 0 
0 834 854 405 725 
834 0 173 445 138 
854 173 0 508 277 
405 445 508 0 323 
725 138 277 323 0 
0 427 541 363 234 
427 0 825 384 452 
541 825 0 470 377 
363 384 470 0 173 
234 452 377 173 0 
0 490 793 800 797 
490 0 343 427 548 
793 343 0 574 766 
800 427 574 0 213 
797 548 766 213 0 
0 393 1053 718 425 
393 0 713 374 533 
1053 713 0 340 896 
718 374 340 0 635 
425 533 896 635 0 
